amount,date,category_name,type
695.33,1593984752000.0,Gifts Received,Income
4042.68,1588359296000.0,Travel,Expense
1529.89,1686842547000.0,Salary,Income
4374.65,1618190578000.0,Groceries,Expense
984.25,1691557364000.0,Pet Care,Expense
2898.92,1717825187000.0,Bonus,Income
3286.13,1702866712000.0,Freelancing,Income
2823.99,1631937953000.0,Pet Care,Expense
2345.37,1590959152000.0,Bonus,Income
851.59,1644107917000.0,Bonus,Income
2867.85,1691526834000.0,Pet Care,Expense
2588.02,1644490486000.0,Pet Care,Expense
4636.15,1710963539000.0,Pet Care,Expense
1172.67,1718660840000.0,Gifts Received,Income
4973.51,1640019681000.0,Bonus,Income
1000.54,1703479284000.0,Freelancing,Income
1328.35,1619048606000.0,Bonus,Income
3996.27,1677639131000.0,Transportation,Expense
2923.59,1647245858000.0,Bonus,Income
1902.75,1577838270000.0,Travel,Expense
4207.13,1645631808000.0,Gifts Received,Income
1283.83,1707494119000.0,Clothing,Expense
3970.6,1649756438000.0,Leisure,Expense
661.48,1691615792000.0,Rent,Expense
2171.64,1623948648000.0,Subscriptions,Expense
4456.47,1650483044000.0,Gifts Received,Income
3468.74,1708854122000.0,Salary,Income
2358.73,1717293056000.0,Bonus,Income
47.86,1671225924000.0,Rent,Expense
1355.88,1681459556000.0,Gifts Received,Income
2262.28,1651949009000.0,Bonus,Income
3857.81,1680329325000.0,Freelancing,Income
1702.83,1608336570000.0,Clothing,Expense
695.74,1712907310000.0,Electronics,Expense
1795.7,1720940509000.0,Electronics,Expense
3216.1,1704773359000.0,Clothing,Expense
3756.66,1664220725000.0,Clothing,Expense
2684.44,1697509642000.0,Salary,Income
3265.49,1705766146000.0,Salary,Income
2939.11,1704448589000.0,Freelancing,Income
4019.71,1645339284000.0,Rent,Expense
4166.13,1614718652000.0,Bonus,Income
938.68,1664574281000.0,Utilities,Expense
4728.18,1629424940000.0,Groceries,Expense
4020.45,1719110961000.0,Clothing,Expense
4793.92,1579171120000.0,Subscriptions,Expense
545.84,1672254774000.0,Transportation,Expense
206.15,1675551155000.0,Gifts Received,Income
2806.35,1691772636000.0,Subscriptions,Expense
