amount,date,category_name,type
126.03,1607722007000.0,Travel,Expense
698.55,1584550573000.0,Transportation,Expense
2952.87,1651660821000.0,Groceries,Expense
1093.97,1643574457000.0,Pet Care,Expense
2806.66,1637754477000.0,Transportation,Expense
1102.98,1615293726000.0,Bonus,Income
3794.28,1605350138000.0,Electronics,Expense
1390.08,1601170664000.0,Bonus,Income
464.64,1691091977000.0,Utilities,Expense
3019.03,1586364799000.0,Freelancing,Income
2681.6,1585831830000.0,Freelancing,Income
4147.19,1602984325000.0,Bonus,Income
3523.15,1636526984000.0,Transportation,Expense
3865.57,1640291233000.0,Travel,Expense
1901.25,1713488477000.0,Transportation,Expense
814.11,1584959995000.0,Gifts Received,Income
3509.4,1631208274000.0,Freelancing,Income
2671.17,1690447194000.0,Leisure,Expense
1897.9,1637010878000.0,Gifts Received,Income
4214.42,1698416834000.0,Freelancing,Income
4109.19,1652509449000.0,Utilities,Expense
1339.44,1579581297000.0,Bonus,Income
3277.54,1620691420000.0,Transportation,Expense
715.22,1691277889000.0,Gifts Received,Income
3735.32,1669172103000.0,Salary,Income
1097.38,1652423720000.0,Salary,Income
3779.16,1619569411000.0,Rent,Expense
3137.6,1635631047000.0,Transportation,Expense
2982.45,1668190711000.0,Salary,Income
2646.04,1605273662000.0,Freelancing,Income
3408.87,1602729473000.0,Dining Out,Expense
558.65,1679819159000.0,Gifts Received,Income
17.22,1603798905000.0,Bonus,Income
2538.9,1674199592000.0,Transportation,Expense
4208.51,1670166711000.0,Gifts Received,Income
1870.2,1648839978000.0,Clothing,Expense
2995.12,1589496838000.0,Groceries,Expense
4645.56,1701162726000.0,Dining Out,Expense
290.57,1721775832000.0,Rent,Expense
3659.81,1611344567000.0,Rent,Expense
642.83,1679448849000.0,Clothing,Expense
1326.02,1598985966000.0,Pet Care,Expense
4821.85,1656532644000.0,Gifts Received,Income
1995.56,1674912463000.0,Bonus,Income
4498.17,1629450274000.0,Freelancing,Income
1124.26,1596504269000.0,Groceries,Expense
2942.61,1590134089000.0,Rent,Expense
1145.48,1639012776000.0,Utilities,Expense
2571.27,1655515188000.0,Transportation,Expense
1071.97,1599252195000.0,Salary,Income
3923.31,1640326127000.0,Electronics,Expense
472.53,1604949165000.0,Electronics,Expense
2118.47,1679872557000.0,Freelancing,Income
304.0,1652451171000.0,Utilities,Expense
1244.03,1699548201000.0,Clothing,Expense
701.77,1675770692000.0,Bonus,Income
1249.78,1621495326000.0,Salary,Income
253.89,1677206496000.0,Groceries,Expense
4631.91,1673204053000.0,Travel,Expense
2032.66,1634072314000.0,Travel,Expense
4512.31,1649499512000.0,Salary,Income
4926.56,1597000165000.0,Subscriptions,Expense
2115.61,1623772880000.0,Salary,Income
950.3,1721215280000.0,Groceries,Expense
3740.13,1643552732000.0,Groceries,Expense
2514.75,1621696222000.0,Gifts Received,Income
4803.93,1701923831000.0,Leisure,Expense
2975.58,1679696095000.0,Travel,Expense
600.31,1650296767000.0,Gifts Received,Income
3097.29,1636789298000.0,Transportation,Expense
4673.6,1664882183000.0,Bonus,Income
1328.81,1592848928000.0,Transportation,Expense
2286.67,1639321423000.0,Freelancing,Income
2291.97,1586450042000.0,Rent,Expense
2688.63,1662511983000.0,Dining Out,Expense
4666.36,1685520053000.0,Travel,Expense
1425.65,1649704345000.0,Bonus,Income
3339.65,1595600568000.0,Dining Out,Expense
4694.71,1634468474000.0,Dining Out,Expense
4448.67,1662303901000.0,Clothing,Expense
1362.47,1634909702000.0,Travel,Expense
1018.78,1711848171000.0,Bonus,Income
1256.36,1684034829000.0,Freelancing,Income
3171.79,1701008906000.0,Dining Out,Expense
18.72,1616188600000.0,Leisure,Expense
808.75,1648936429000.0,Salary,Income
560.26,1615318529000.0,Leisure,Expense
4173.14,1644040367000.0,Clothing,Expense
2149.5,1722513814000.0,Dining Out,Expense
4495.01,1648362363000.0,Freelancing,Income
1051.17,1692840028000.0,Freelancing,Income
3900.8,1685046457000.0,Salary,Income
4628.89,1675009481000.0,Leisure,Expense
4407.2,1636710267000.0,Leisure,Expense
3912.15,1614969944000.0,Gifts Received,Income
796.83,1714608122000.0,Freelancing,Income
4360.96,1710313949000.0,Salary,Income
998.66,1602236509000.0,Utilities,Expense
4102.86,1590480905000.0,Gifts Received,Income
119.3,1607270515000.0,Electronics,Expense
1393.74,1618861229000.0,Bonus,Income
3207.77,1620778040000.0,Bonus,Income
577.59,1691155902000.0,Leisure,Expense
192.25,1594886289000.0,Salary,Income
3643.0,1681118388000.0,Salary,Income
1926.59,1680273346000.0,Travel,Expense
222.89,1703477984000.0,Freelancing,Income
1821.74,1719866250000.0,Transportation,Expense
3116.15,1645325262000.0,Freelancing,Income
2536.11,1580918713000.0,Salary,Income
2012.6,1608586548000.0,Gifts Received,Income
2102.81,1721975075000.0,Transportation,Expense
3077.96,1649458540000.0,Electronics,Expense
1520.07,1669151958000.0,Electronics,Expense
2325.48,1607781358000.0,Gifts Received,Income
3968.88,1656619040000.0,Gifts Received,Income
1419.65,1694539609000.0,Transportation,Expense
467.84,1620288348000.0,Gifts Received,Income
1123.98,1699632330000.0,Gifts Received,Income
232.02,1578707957000.0,Pet Care,Expense
2277.63,1648536158000.0,Pet Care,Expense
3592.01,1712208261000.0,Subscriptions,Expense
1220.68,1625789699000.0,Freelancing,Income
3892.32,1714112961000.0,Leisure,Expense
252.04,1606401237000.0,Freelancing,Income
667.56,1657946362000.0,Bonus,Income
3063.65,1714107917000.0,Salary,Income
4486.14,1631227992000.0,Salary,Income
1296.7,1618860679000.0,Bonus,Income
3134.12,1678208534000.0,Salary,Income
3568.01,1621198689000.0,Dining Out,Expense
1599.23,1722621654000.0,Freelancing,Income
755.0,1720198929000.0,Leisure,Expense
322.08,1577990317000.0,Utilities,Expense
2079.46,1664848179000.0,Salary,Income
4524.29,1708995896000.0,Freelancing,Income
2385.42,1583065048000.0,Bonus,Income
4267.39,1607866063000.0,Salary,Income
2441.66,1675273707000.0,Electronics,Expense
146.1,1660380895000.0,Salary,Income
4202.69,1642114291000.0,Pet Care,Expense
4534.74,1593382369000.0,Pet Care,Expense
420.65,1642495274000.0,Leisure,Expense
909.46,1598974384000.0,Salary,Income
1059.09,1600825622000.0,Bonus,Income
1392.0,1708293870000.0,Salary,Income
4174.72,1596412292000.0,Freelancing,Income
4999.54,1720830422000.0,Travel,Expense
3906.38,1611595381000.0,Groceries,Expense
4748.11,1612301621000.0,Groceries,Expense
1193.49,1705419441000.0,Transportation,Expense
2820.28,1622159130000.0,Subscriptions,Expense
3834.72,1648983796000.0,Freelancing,Income
4823.64,1719479552000.0,Pet Care,Expense
4644.51,1691418425000.0,Transportation,Expense
1983.88,1634687346000.0,Gifts Received,Income
2960.9,1722599391000.0,Transportation,Expense
510.4,1631829277000.0,Dining Out,Expense
3981.34,1661508905000.0,Groceries,Expense
2664.19,1684936879000.0,Bonus,Income
2530.3,1678076103000.0,Groceries,Expense
4111.83,1695434794000.0,Salary,Income
3178.29,1716768907000.0,Salary,Income
2178.0,1699031688000.0,Clothing,Expense
3079.95,1610318617000.0,Salary,Income
2178.44,1644383457000.0,Bonus,Income
4258.71,1638153532000.0,Freelancing,Income
4408.27,1595020021000.0,Salary,Income
1682.65,1668590953000.0,Bonus,Income
2438.26,1583483141000.0,Dining Out,Expense
1399.01,1639607753000.0,Bonus,Income
2583.62,1636950955000.0,Rent,Expense
3600.65,1579767077000.0,Clothing,Expense
3453.36,1596890261000.0,Subscriptions,Expense
3964.87,1593637006000.0,Bonus,Income
2022.6,1639292893000.0,Dining Out,Expense
2366.83,1595925836000.0,Bonus,Income
4983.16,1586265551000.0,Bonus,Income
3514.57,1666531923000.0,Bonus,Income
1153.46,1596853825000.0,Gifts Received,Income
598.65,1715850933000.0,Gifts Received,Income
1082.71,1641725682000.0,Dining Out,Expense
4902.57,1652586371000.0,Gifts Received,Income
1138.19,1708139262000.0,Bonus,Income
3540.38,1635341955000.0,Dining Out,Expense
4871.5,1722582707000.0,Dining Out,Expense
3189.71,1613353990000.0,Subscriptions,Expense
4363.73,1704718463000.0,Dining Out,Expense
2394.09,1643065874000.0,Gifts Received,Income
1263.14,1704799506000.0,Subscriptions,Expense
4110.76,1687102527000.0,Subscriptions,Expense
2885.53,1628945973000.0,Groceries,Expense
746.84,1603153589000.0,Dining Out,Expense
4969.6,1603856466000.0,Clothing,Expense
3031.98,1693542621000.0,Gifts Received,Income
2253.12,1672942829000.0,Bonus,Income
1527.6,1691536721000.0,Freelancing,Income
4738.0,1688187627000.0,Transportation,Expense
1323.97,1703202779000.0,Leisure,Expense
869.89,1592374666000.0,Leisure,Expense
2043.18,1604255646000.0,Pet Care,Expense
1457.01,1594103790000.0,Bonus,Income
3515.23,1685911027000.0,Freelancing,Income
4619.63,1668917648000.0,Transportation,Expense
2126.27,1607168482000.0,Travel,Expense
4542.15,1644584976000.0,Leisure,Expense
299.13,1629262768000.0,Dining Out,Expense
2196.33,1628892014000.0,Bonus,Income
4713.44,1721791310000.0,Salary,Income
403.13,1698256983000.0,Salary,Income
3018.96,1615466699000.0,Freelancing,Income
4809.59,1691081190000.0,Pet Care,Expense
4997.86,1627087895000.0,Dining Out,Expense
3815.78,1652604593000.0,Subscriptions,Expense
4580.45,1702022577000.0,Salary,Income
4845.31,1644893707000.0,Bonus,Income
1667.21,1598069177000.0,Freelancing,Income
1649.69,1696785203000.0,Subscriptions,Expense
3313.26,1604118974000.0,Freelancing,Income
441.21,1591412901000.0,Bonus,Income
4850.95,1722946168000.0,Clothing,Expense
3288.64,1581798330000.0,Subscriptions,Expense
271.97,1602868235000.0,Bonus,Income
3127.42,1641289436000.0,Freelancing,Income
1336.01,1622476998000.0,Dining Out,Expense
4404.35,1686929143000.0,Freelancing,Income
4865.76,1708200097000.0,Travel,Expense
1554.44,1707050467000.0,Clothing,Expense
466.95,1635210552000.0,Freelancing,Income
4735.36,1685486632000.0,Gifts Received,Income
4663.33,1593573021000.0,Bonus,Income
4173.79,1622027640000.0,Gifts Received,Income
2756.77,1679566622000.0,Gifts Received,Income
4320.27,1578415378000.0,Electronics,Expense
4671.31,1682636242000.0,Bonus,Income
1414.91,1649023103000.0,Pet Care,Expense
4326.44,1699977179000.0,Salary,Income
1662.87,1654404207000.0,Salary,Income
4664.33,1691383406000.0,Gifts Received,Income
2859.42,1708476663000.0,Electronics,Expense
1591.56,1619386157000.0,Electronics,Expense
4942.08,1628808520000.0,Gifts Received,Income
4824.16,1657480101000.0,Bonus,Income
4371.08,1636275438000.0,Rent,Expense
77.72,1593532189000.0,Salary,Income
375.07,1723377617000.0,Dining Out,Expense
3116.67,1594196372000.0,Freelancing,Income
4261.85,1662015851000.0,Salary,Income
3134.37,1593178386000.0,Salary,Income
3087.68,1591293180000.0,Transportation,Expense
4987.13,1705823742000.0,Freelancing,Income
4891.71,1712816070000.0,Freelancing,Income
832.66,1720406287000.0,Freelancing,Income
1622.55,1620093726000.0,Dining Out,Expense
1874.83,1593101694000.0,Gifts Received,Income
2830.07,1714152374000.0,Gifts Received,Income
876.17,1599337957000.0,Electronics,Expense
2488.84,1627715209000.0,Leisure,Expense
2306.29,1596226754000.0,Subscriptions,Expense
3334.54,1596076305000.0,Salary,Income
3388.38,1640973865000.0,Freelancing,Income
4726.23,1686220874000.0,Bonus,Income
3451.88,1610018616000.0,Bonus,Income
4996.87,1643929729000.0,Subscriptions,Expense
1186.79,1588501271000.0,Utilities,Expense
4963.47,1599840453000.0,Freelancing,Income
1373.13,1690368030000.0,Freelancing,Income
4164.36,1718166617000.0,Gifts Received,Income
1095.8,1662758083000.0,Bonus,Income
3141.61,1647835558000.0,Transportation,Expense
1545.36,1632663611000.0,Groceries,Expense
3662.07,1662171289000.0,Bonus,Income
3737.66,1641908573000.0,Gifts Received,Income
3932.78,1649133553000.0,Clothing,Expense
4152.53,1684076154000.0,Salary,Income
3733.05,1612969170000.0,Freelancing,Income
4814.5,1658363052000.0,Gifts Received,Income
4836.38,1700572087000.0,Bonus,Income
3953.62,1662706368000.0,Dining Out,Expense
2274.48,1597306344000.0,Transportation,Expense
2923.22,1580337399000.0,Bonus,Income
3374.51,1700856882000.0,Groceries,Expense
4576.36,1604675313000.0,Freelancing,Income
4547.03,1597498974000.0,Salary,Income
699.75,1722153336000.0,Dining Out,Expense
581.49,1635051374000.0,Gifts Received,Income
2268.77,1713630588000.0,Salary,Income
4427.18,1649022394000.0,Rent,Expense
3078.65,1613392838000.0,Freelancing,Income
1087.13,1671523145000.0,Gifts Received,Income
497.67,1596299226000.0,Bonus,Income
303.69,1643411398000.0,Gifts Received,Income
4745.1,1677030973000.0,Subscriptions,Expense
3314.18,1654333921000.0,Transportation,Expense
253.84,1620178043000.0,Travel,Expense
3935.1,1695457474000.0,Rent,Expense
2932.33,1659039526000.0,Travel,Expense
3872.07,1719819636000.0,Freelancing,Income
4292.17,1579936799000.0,Gifts Received,Income
3992.77,1658197070000.0,Freelancing,Income
75.29,1605643089000.0,Travel,Expense
79.89,1613885296000.0,Freelancing,Income
3708.85,1648825230000.0,Rent,Expense
2381.75,1608821946000.0,Utilities,Expense
2260.58,1606569050000.0,Pet Care,Expense
3636.49,1619560930000.0,Transportation,Expense
2290.75,1650941117000.0,Freelancing,Income
4236.65,1653466573000.0,Freelancing,Income
3562.29,1634373666000.0,Freelancing,Income
1611.24,1669878026000.0,Rent,Expense
1375.8,1632485936000.0,Pet Care,Expense
1905.14,1648695838000.0,Bonus,Income
2528.25,1713502911000.0,Freelancing,Income
4264.11,1708976070000.0,Clothing,Expense
2150.92,1645246647000.0,Electronics,Expense
4137.27,1591469424000.0,Salary,Income
